2024-08-05 08:20:03,963; INFO; se; [supR0EsteiraSensor: S0_S0_S0 -> S1_S0_S0]
2024-08-05 08:20:03,964; INFO; a1; [supR0EsteiraSensor: S1_S0_S0 -> S0_S1_S0]
2024-08-05 08:20:03,964; INFO; a1; [supEsteiraMesa_GiratoriaR1: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:03,964; INFO; a1; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S0_S0_S0 -> S4_S1_S0_S0]
2024-08-05 08:20:03,964; INFO; a1; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S0_S0_S0 -> S0_S1_S0_S0_S0]
2024-08-05 08:20:05,483; INFO; b1; [supR0EsteiraSensor: S0_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:05,483; INFO; b1; [supEsteiraMesa_GiratoriaR1: S1_S0_S1 -> S0_S0_S0]
2024-08-05 08:20:05,484; INFO; b1; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S1_S0_S0 -> S5_S0_S0_S0]
2024-08-05 08:20:05,484; INFO; b1; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S1_S0_S0_S0 -> S1_S0_S0_S0_S0]
2024-08-05 08:20:05,484; INFO; a0; [supEsteiraMesa_GiratoriaR1: S0_S0_S0 -> S0_S1_S1]
2024-08-05 08:20:05,485; INFO; a0; [supR2Mesa_GiratoriaFuradeira: S0_S0_S0 -> S1_S1_S0]
2024-08-05 08:20:05,485; INFO; a0; [supR3Mesa_GiratoriaTeste: S0_S0_S0 -> S1_S1_S0]
2024-08-05 08:20:05,485; INFO; a0; [supR4Mesa_GiratoriaRobo: S5_S0_S0 -> S4_S1_S0]
2024-08-05 08:20:05,486; INFO; a0; [supR5EsteiraMesa_GiratoriaFuradeira: S5_S0_S0_S0 -> S2_S0_S1_S0]
2024-08-05 08:20:05,486; INFO; a0; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S0_S0_S0 -> S4_S1_S0_S0]
2024-08-05 08:20:05,486; INFO; a0; [supR7Mesa_GiratoriaTesteRobo: S6_S0_S0_S0 -> S6_S1_S0_S0]
2024-08-05 08:20:05,486; INFO; a0; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S1_S0_S0_S0_S0 -> S0_S0_S1_S0_S0]
2024-08-05 08:20:08,769; INFO; b0; [supEsteiraMesa_GiratoriaR1: S0_S1_S1 -> S0_S0_S0]
2024-08-05 08:20:08,769; INFO; b0; [supR2Mesa_GiratoriaFuradeira: S1_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:08,770; INFO; b0; [supR3Mesa_GiratoriaTeste: S1_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:08,770; INFO; b0; [supR4Mesa_GiratoriaRobo: S4_S1_S0 -> S5_S0_S0]
2024-08-05 08:20:08,770; INFO; b0; [supR5EsteiraMesa_GiratoriaFuradeira: S2_S0_S1_S0 -> S2_S0_S0_S0]
2024-08-05 08:20:08,770; INFO; b0; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S1_S0_S0 -> S4_S0_S0_S0]
2024-08-05 08:20:08,771; INFO; b0; [supR7Mesa_GiratoriaTesteRobo: S6_S1_S0_S0 -> S6_S0_S0_S0]
